iter	Passed	Remaining
606	10895	7053
607	10911	7035
608	10927	7015
609	10941	6995
610	10957	6976
611	10973	6957
612	10989	6937
613	11004	6918
614	11020	6899
615	11035	6879
616	11052	6860
617	11069	6842
618	11084	6822
619	11099	6803
620	11116	6784
621	11131	6765
622	11147	6746
623	11162	6725
624	11178	6707
625	11194	6688
626	11210	6668
627	11225	6649
628	11241	6630
629	11256	6610
630	11271	6591
631	11286	6572
632	11303	6553
633	11320	6535
634	11336	6516
635	11351	6496
636	11366	6477
637	11382	6458
638	11396	6438
639	11411	6418
640	11425	6398
641	11440	6379
642	11455	6360
643	11471	6341
644	11486	6322
645	11502	6303
646	11519	6285
647	11535	6265
648	11549	6246
649	11564	6227
650	11580	6208
651	11600	6191
652	11620	6174
653	11635	6155
654	11652	6137
655	11668	6119
656	11684	6100
657	11698	6080
658	11713	6061
659	11728	6041
660	11744	6023
661	11760	6004
662	11775	5985
663	11790	5966
664	11807	5948
665	11824	5929
666	11841	5912
667	11858	5893
668	11873	5874
669	11888	5855
670	11906	5837
671	11922	5819
672	11938	5800
673	11953	5781
674	11968	5762
675	11984	5743
676	12000	5725
677	12015	5706
678	12029	5687
679	12046	5668
680	12062	5650
681	12077	5631
682	12093	5613
683	12109	5594
684	12125	5576
685	12141	5557
686	12155	5538
687	12171	5519
688	12187	5501
689	12201	5481
690	12216	5462
691	12232	5444
692	12248	5426
693	12264	5407
694	12279	5388
695	12294	5370
696	12310	5351
697	12326	5333
698	12340	5314
699	12355	5295
700	12370	5276
701	12386	5257
702	12401	5239
703	12417	5220
704	12431	5201
705	12446	5183
706	12462	5164
707	12479	5146
708	12495	5128
709	12512	5110
710	12529	5092
711	12544	5074
712	12561	5056
713	12578	5038
714	12595	5020
715	12613	5003
716	12633	4986
717	12654	4970
718	12670	4951
719	12687	4934
720	12703	4915
721	12718	4897
722	12733	4878
723	12748	4860
724	12763	4841
725	12778	4822
726	12795	4805
727	12810	4786
728	12826	4768
729	12843	4750
730	12859	4732
731	12876	4714
732	12892	4696
733	12909	4678
734	12927	4660
735	12941	4642
736	12957	4623
737	12973	4605
738	12989	4587
739	13004	4569
740	13020	4551
741	13036	4532
742	13052	4514
743	13067	4496
744	13082	4477
745	13099	4460
746	13114	4441
747	13129	4423
748	13144	4404
749	13159	4386
750	13176	4368
751	13191	4350
752	13207	4332
753	13224	4314
754	13239	4296
755	13253	4277
756	13268	4259
757	13283	4240
758	13301	4223
759	13316	4205
760	13331	4186
761	13346	4168
762	13362	4150
763	13378	4132
764	13394	4114
765	13409	4096
766	13425	4078
767	13441	4060
768	13458	4042
769	13474	4024
770	13489	4006
771	13506	3988
772	13522	3971
773	13538	3952
774	13554	3935
775	13569	3917
776	13585	3899
777	13601	3881
778	13618	3863
779	13635	3845
780	13652	3828
781	13682	3814
782	13704	3798
783	13725	3781
784	13747	3765
785	13766	3748
786	13786	3731
787	13805	3714
788	13822	3696
789	13840	3679
790	13860	3662
791	13879	3645
792	13898	3627
793	13918	3610
794	13935	3593
795	13954	3576
796	13975	3559
797	13995	3542
798	14013	3525
799	14034	3508
800	14053	3491
801	14072	3474
802	14090	3456
803	14112	3440
804	14133	3423
805	14151	3406
806	14171	3389
807	14191	3372
808	14213	3355
809	14231	3338
810	14250	3320
811	14267	3303
812	14285	3285
813	14305	3268
814	14323	3251
815	14344	3234
816	14362	3217
817	14381	3199
818	14400	3182
819	14419	3165
820	14438	3147
821	14456	3130
822	14477	3113
823	14496	3096
824	14515	3079
825	14533	3061
826	14553	3044
827	14571	3026
828	14591	3009
829	14610	2992
830	14629	2975
831	14647	2957
832	14667	2940
833	14686	2923
834	14708	2906
835	14734	2890
836	14755	2873
837	14774	2856
838	14795	2839
839	14815	2821
840	14832	2804
841	14850	2786
842	14870	2769
843	14891	2752
844	14913	2735
845	14933	2718
846	14952	2700
847	14970	2683
848	14988	2665
849	15009	2648
850	15031	2631
851	15050	2614
852	15068	2596
853	15089	2579
854	15110	2562
855	15130	2545
856	15151	2528
857	15171	2510
858	15194	2494
859	15217	2477
860	15239	2460
861	15259	2442
862	15278	2425
863	15298	2408
864	15316	2390
865	15334	2372
866	15353	2355
867	15372	2337
868	15391	2320
869	15411	2302
870	15430	2285
871	15450	2268
872	15471	2250
873	15490	2233
874	15511	2215
875	15533	2198
876	15554	2181
877	15573	2163
878	15592	2146
879	15610	2128
880	15629	2111
881	15650	2093
882	15669	2076
883	15691	2059
884	15710	2041
885	15732	2024
886	15755	2007
887	15778	1990
888	15797	1972
889	15816	1954
890	15836	1937
891	15855	1919
892	15874	1902
893	15895	1884
894	15913	1866
895	15934	1849
896	15954	1831
897	15974	1814
898	15994	1796
899	16014	1779
900	16033	1761
901	16052	1744
902	16071	1726
903	16091	1708
904	16114	1691
905	16135	1674
906	16155	1656
907	16175	1638
908	16196	1621
909	16215	1603
910	16234	1585
911	16253	1568
912	16272	1550
913	16292	1533
914	16310	1515
915	16330	1497
916	16349	1479
917	16368	1462
918	16387	1444
919	16407	1426
920	16428	1409
921	16448	1391
922	16467	1373
923	16484	1355
924	16506	1338
925	16525	1320
926	16544	1302
927	16562	1285
928	16580	1267
929	16598	1249
930	16618	1231
931	16637	1213
932	16657	1196
933	16676	1178
934	16695	1160
935	16714	1142
936	16732	1125
937	16752	1107
938	16774	1089
939	16799	1072
940	16820	1054
941	16842	1037
942	16861	1019
943	16882	1001
944	16904	983
945	16927	966
946	16946	948
947	16966	930
948	16987	912
949	17006	895
950	17024	877
951	17044	859
952	17062	841
953	17080	823
954	17098	805
955	17118	787
956	17137	770
957	17157	752
958	17175	734
959	17194	716
960	17212	698
961	17232	680
962	17251	662
963	17271	644
964	17289	627
965	17308	609
966	17325	591
967	17343	573
968	17361	555
969	17381	537
970	17399	519
971	17417	501
972	17436	483
973	17455	465
974	17474	448
975	17495	430
976	17517	412
977	17539	394
978	17558	376
979	17584	358
980	17604	340
981	17623	323
982	17641	305
983	17658	287
984	17678	269
985	17698	251
986	17716	233
987	17734	215
988	17753	197
989	17772	179
990	17792	161
991	17814	143
992	17839	125
993	17861	107
994	17882	89
995	17901	71
996	17921	53
997	17940	35
998	17961	17
999	17981	0
