time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-08T07:42:24.170Z,-30.0795,-70.7669,80.68,4.8,mwr,,60,0.097,0.53,us,us7000eb23,2021-08-24T21:34:20.040Z,"7 km SW of Vicuña, Chile",earthquake,2.3,3.8,0.043,51,reviewed,us,us
2021-06-08T07:37:22.770Z,19.3756,-64.0495,107,3.82,md,11,334,1.6313,0.34,pr,pr2021159006,2021-08-24T21:34:19.040Z,"139 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,8.22,10.73,0,1,reviewed,pr,pr
2021-06-08T07:21:46.936Z,-16.6885,-74.155,10,4.8,mb,,133,4.004,0.98,us,us7000eb1x,2021-08-24T21:34:20.040Z,"77 km SW of Atico, Peru",earthquake,6.4,1.8,0.066,70,reviewed,us,us
2021-06-08T07:03:49.262Z,1.5871,127.165,49.36,4.4,mb,,178,0.834,0.35,us,us7000ec4b,2021-08-24T21:33:15.040Z,"91 km NNW of Ternate, Indonesia",earthquake,8.6,11,0.149,13,reviewed,us,us
2021-06-08T06:46:59.676Z,31.64917989,-104.5383709,6.157275391,2.7,ml,29,78,0.03750028683,0.3,tx,tx2021ldex,2021-08-24T21:34:21.040Z,"60 km SSW of Whites City, New Mexico",earthquake,2.144377253,1.246808438,0.1,15,reviewed,tx,tx
2021-06-08T06:40:49.233Z,-6.4036,131.2816,58.46,4.8,mb,,110,1.568,0.77,us,us7000eb1l,2021-08-24T21:34:21.040Z,"183 km WSW of Tual, Indonesia",earthquake,6.2,8.7,0.154,13,reviewed,us,us
2021-06-08T05:57:26.080Z,19.3685,-64.2786,28,3.99,md,28,311,1.4606,0.35,pr,pr2021159004,2021-08-24T21:34:22.040Z,"126 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,2.39,27.53,0.06,18,reviewed,pr,pr
2021-06-08T05:40:00.066Z,24.9218,122.4977,6.56,4.5,mb,,65,0.65,0.73,us,us7000ec48,2021-08-24T21:33:15.040Z,"69 km ESE of Jiufen, Taiwan",earthquake,5.2,2,0.132,17,reviewed,us,us
2021-06-08T05:38:06.570Z,19.6605,-63.8383,77,3.71,md,8,340,1.979,0.38,pr,pr2021159005,2021-08-24T21:34:20.040Z,"178 km NE of Cruz Bay, U.S. Virgin Islands",earthquake,6.49,22.68,0.05,4,reviewed,pr,pr
2021-06-08T05:11:18.400Z,19.6333,-63.5601,77,4.02,md,11,329,2.1735,0.31,pr,pr2021159003,2021-06-08T07:08:23.168Z,"165 km NNW of The Valley, Anguilla",earthquake,5.49,21.49,0.08,4,reviewed,pr,pr
2021-06-08T05:01:01.532Z,13.7801,145.3598,93.21,4.8,mb,,76,0.513,0.5,us,us7000eb0i,2021-08-24T21:34:22.040Z,"57 km ENE of Yigo Village, Guam",earthquake,6.4,7,0.046,149,reviewed,us,us
2021-06-08T05:00:32.301Z,0.4526,123.6478,196.83,5.3,mww,,30,1.723,0.93,us,us7000eb0g,2021-08-24T21:34:22.040Z,"65 km E of Gorontalo, Indonesia",earthquake,6.6,4.8,0.056,31,reviewed,us,us
2021-06-08T04:58:07.839Z,-28.0555,-71.5045,17.17,4,mb,,175,0.408,0.74,us,us7000eb0c,2021-08-24T21:34:22.040Z,"93 km NW of Vallenar, Chile",earthquake,5.2,5.5,0.232,5,reviewed,us,us
2021-06-08T04:56:44.720Z,19.3833,-64.4133,72,3.92,md,23,314,1.3831,0.49,pr,pr2021159002,2021-06-08T06:18:06.808Z,"123 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,5.08,15.76,0.08,13,reviewed,pr,pr
2021-06-08T04:56:26.495Z,19.1878,-63.1833,10,4.2,mb,,111,1.136,0.79,us,us7000ebb8,2021-08-24T21:34:08.040Z,"108 km N of The Valley, Anguilla",earthquake,6.7,1.9,0.147,13,reviewed,us,us
2021-06-08T04:56:17.962Z,18.8196,-63.4774,10,3.4,ml,,224,0.855,0.59,us,us7000ebkw,2021-08-24T21:33:48.040Z,"79 km NNW of Sandy Ground Village, Anguilla",earthquake,7.2,2,0.128,8,reviewed,us,us
2021-06-08T04:56:01.736Z,18.8993,-63.3747,10,3.3,ml,,227,0.891,0.76,us,us7000eb0b,2021-08-24T21:34:23.040Z,"82 km NNW of The Valley, Anguilla",earthquake,7.2,2,0.148,6,reviewed,us,us
2021-06-08T04:54:12.105Z,-19.8354,-177.2055,399.32,4.4,mb,,130,15.106,0.29,us,us7000ec46,2021-08-24T21:33:16.040Z,"253 km NW of Haveluloto, Tonga",earthquake,10.7,9.4,0.126,18,reviewed,us,us
2021-06-08T04:40:22.610Z,18.1436,-66.7781,23,2.55,md,18,50,0.1992,0.14,pr,pr2021159001,2021-06-08T05:09:07.448Z,"6 km WSW of Adjuntas, Puerto Rico",earthquake,0.33,0.67,0.13,9,reviewed,pr,pr
2021-06-08T04:39:59.384Z,-17.7991,-12.8648,10,5,mb,,44,7.057,0.63,us,us7000eb08,2021-08-24T21:34:23.040Z,"southern Mid-Atlantic Ridge",earthquake,10.2,1.8,0.073,60,reviewed,us,us
2021-06-08T04:37:54.443Z,-57.1058,-29.5309,10,4.5,mb,,170,18.342,0.47,us,us7000ec45,2021-08-24T21:33:16.040Z,"South Sandwich Islands region",earthquake,14.9,2,0.124,19,reviewed,us,us
2021-06-08T04:12:59.019Z,-24.3057,-67.3193,191.7,4.4,mb,,75,1.561,0.5,us,us7000eb03,2021-08-24T21:34:24.040Z,"102 km W of San Antonio de los Cobres, Argentina",earthquake,9,8.4,0.179,9,reviewed,us,us
2021-06-08T03:59:53.202Z,43.666,16.07,14.92,4.4,mb,,30,1.346,0.73,us,us7000eb00,2022-01-21T10:24:40.485Z,"12 km E of Brodarica, Croatia",earthquake,5,4.9,0.126,18,reviewed,us,us
